日期,时刻,统调负荷,气温
2025-06-01,0,67853.8,30.5
2025-06-01,60,66061.4,29.29
2025-06-01,120,64257.9,28.0
2025-06-01,180,63731.1,26.71
2025-06-01,240,63352.1,25.5
2025-06-01,300,63146.7,24.46
2025-06-01,360,63128.9,23.67
2025-06-01,420,63300.0,23.17
2025-06-01,480,63648.3,23.0
2025-06-01,540,64150.0,23.17
2025-06-01,600,64771.0,23.67
2025-06-01,660,65468.9,24.46
2025-06-01,720,66196.2,25.5
2025-06-01,780,66903.3,26.71
2025-06-01,840,67542.1,28.0
2025-06-01,900,69233.6,29.29
2025-06-01,960,70697.9,30.5
2025-06-01,1020,71835.3,31.54
2025-06-01,1080,72568.2,32.33
2025-06-01,1140,72846.7,32.83
2025-06-01,1200,72651.7,33.0
2025-06-01,1260,71996.7,32.83
2025-06-01,1320,70926.1,32.33
2025-06-01,1380,69513.1,31.54
2025-06-02,0,70453.8,30.5
2025-06-02,60,68661.4,29.29
2025-06-02,120,66857.9,28.0
2025-06-02,180,66331.1,26.71
2025-06-02,240,65952.1,25.5
2025-06-02,300,65746.7,24.46
2025-06-02,360,65728.9,23.67
2025-06-02,420,65900.0,23.17
2025-06-02,480,66248.3,23.0
2025-06-02,540,66750.0,23.17
2025-06-02,600,67371.0,23.67
2025-06-02,660,68068.9,24.46
2025-06-02,720,68796.2,25.5
2025-06-02,780,69503.3,26.71
2025-06-02,840,70142.1,28.0
2025-06-02,900,71833.6,29.29
2025-06-02,960,73297.9,30.5
2025-06-02,1020,74435.3,31.54
2025-06-02,1080,75168.2,32.33
2025-06-02,1140,75446.7,32.83
2025-06-02,1200,75251.7,33.0
2025-06-02,1260,74596.7,32.83
2025-06-02,1320,73526.1,32.33
2025-06-02,1380,72113.1,31.54
2025-06-03,0,70453.8,30.5
2025-06-03,60,68661.4,29.29
2025-06-03,120,66857.9,28.0
2025-06-03,180,66331.1,26.71
2025-06-03,240,65952.1,25.5
2025-06-03,300,65746.7,24.46
2025-06-03,360,65728.9,23.67
2025-06-03,420,65900.0,23.17
2025-06-03,480,66248.3,23.0
2025-06-03,540,66750.0,23.17
2025-06-03,600,67371.0,23.67
2025-06-03,660,68068.9,24.46
2025-06-03,720,68796.2,25.5
2025-06-03,780,69503.3,26.71
2025-06-03,840,70142.1,28.0
2025-06-03,900,71833.6,29.29
2025-06-03,960,73297.9,30.5
2025-06-03,1020,74435.3,31.54
2025-06-03,1080,75168.2,32.33
2025-06-03,1140,75446.7,32.83
2025-06-03,1200,75251.7,33.0
2025-06-03,1260,74596.7,32.83
2025-06-03,1320,73526.1,32.33
2025-06-03,1380,72113.1,31.54
2025-06-04,0,70453.8,30.5
2025-06-04,60,68661.4,29.29
2025-06-04,120,66857.9,28.0
2025-06-04,180,66331.1,26.71
2025-06-04,240,65952.1,25.5
2025-06-04,300,65746.7,24.46
2025-06-04,360,65728.9,23.67
2025-06-04,420,65900.0,23.17
2025-06-04,480,66248.3,23.0
2025-06-04,540,66750.0,23.17
2025-06-04,600,67371.0,23.67
2025-06-04,660,68068.9,24.46
2025-06-04,720,68796.2,25.5
2025-06-04,780,69503.3,26.71
2025-06-04,840,70142.1,28.0
2025-06-04,900,71833.6,29.29
