日期,小时,负荷,温度
2025-01-01,1,1764.02,11.0
2025-01-01,2,1763.14,9.55
2025-01-01,3,1804.55,8.0
2025-01-01,4,1850.41,6.45
2025-01-01,5,1897.61,5.0
2025-01-01,6,1942.93,3.76
2025-01-01,7,1983.28,2.8
2025-01-01,8,2015.9,2.2
2025-01-01,9,2038.59,2.0
2025-01-01,10,2049.78,2.2
2025-01-01,11,2048.73,2.8
2025-01-01,12,2035.49,3.76
2025-01-01,13,2010.98,5.0
2025-01-01,14,1976.86,6.45
2025-01-01,15,1935.45,8.0
2025-01-01,16,1889.59,9.55
2025-01-01,17,1877.39,11.0
2025-01-01,18,1875.56,12.24
2025-01-01,19,1868.59,13.2
2025-01-01,20,1856.94,13.8
2025-01-01,21,1841.41,14.0
2025-01-01,22,1823.06,13.8
2025-01-01,23,1803.14,13.2
2025-01-01,24,1783.0,12.24
2025-01-02,1,1764.02,11.0
2025-01-02,2,1763.14,9.55
2025-01-02,3,1804.55,8.0
2025-01-02,4,1850.41,6.45
2025-01-02,5,1897.61,5.0
2025-01-02,6,1942.93,3.76
2025-01-02,7,1983.28,2.8
2025-01-02,8,2015.9,2.2
2025-01-02,9,2038.59,2.0
2025-01-02,10,2049.78,2.2
2025-01-02,11,2048.73,2.8
2025-01-02,12,2035.49,3.76
2025-01-02,13,2010.98,5.0
2025-01-02,14,1976.86,6.45
2025-01-02,15,1935.45,8.0
2025-01-02,16,1889.59,9.55
2025-01-02,17,1877.39,11.0
2025-01-02,18,1875.56,12.24
2025-01-02,19,1868.59,13.2
2025-01-02,20,1856.94,13.8
2025-01-02,21,1841.41,14.0
2025-01-02,22,1823.06,13.8
2025-01-02,23,1803.14,13.2
2025-01-02,24,1783.0,12.24
2025-01-03,1,1764.02,11.0
2025-01-03,2,1763.14,9.55
2025-01-03,3,1804.55,8.0
2025-01-03,4,1850.41,6.45
2025-01-03,5,1897.61,5.0
2025-01-03,6,1942.93,3.76
2025-01-03,7,1983.28,2.8
2025-01-03,8,2015.9,2.2
2025-01-03,9,2038.59,2.0
2025-01-03,10,2049.78,2.2
2025-01-03,11,2048.73,2.8
2025-01-03,12,2035.49,3.76
2025-01-03,13,2010.98,5.0
2025-01-03,14,1976.86,6.45
2025-01-03,15,1935.45,8.0
2025-01-03,16,1889.59,9.55
2025-01-03,17,1877.39,11.0
2025-01-03,18,1875.56,12.24
2025-01-03,19,1868.59,13.2
2025-01-03,20,1856.94,13.8
2025-01-03,21,1841.41,14.0
2025-01-03,22,1823.06,13.8
2025-01-03,23,1803.14,13.2
2025-01-03,24,1783.0,12.24
2025-01-04,1,1764.02,11.0
2025-01-04,2,1763.14,9.55
2025-01-04,3,1804.55,8.0
2025-01-04,4,1850.41,6.45
2025-01-04,5,1897.61,5.0
2025-01-04,6,1942.93,3.76
2025-01-04,7,1983.28,2.8
2025-01-04,8,2015.9,2.2
2025-01-04,9,2038.59,2.0
2025-01-04,10,2049.78,2.2
2025-01-04,11,2048.73,2.8
2025-01-04,12,2035.49,3.76
2025-01-04,13,2010.98,5.0
2025-01-04,14,1976.86,6.45
2025-01-04,15,1935.45,8.0
2025-01-04,16,1889.59,9.55
2025-01-04,17,1877.39,11.0
2025-01-04,18,1875.56,12.24
2025-01-04,19,1868.59,13.2
2025-01-04,20,1856.94,13.8
2025-01-04,21,1841.41,14.0
2025-01-04,22,1823.06,13.8
2025-01-04,23,1803.14,13.2
2025-01-04,24,1783.0,12.24
2025-01-05,1,1764.02,11.0
2025-01-05,2,1763.14,9.55
2025-01-05,3,1804.55,8.0
2025-01-05,4,1850.41,6.45
2025-01-05,5,1897.61,5.0
2025-01-05,6,1942.93,3.76
2025-01-05,7,1983.28,2.8
2025-01-05,8,2015.9,2.2
2025-01-05,9,2038.59,2.0
2025-01-05,10,2049.78,2.2
2025-01-05,11,2048.73,2.8
2025-01-05,12,2035.49,3.76
2025-01-05,13,2010.98,5.0
2025-01-05,14,1976.86,6.45
2025-01-05,15,1935.45,8.0
2025-01-05,16,1889.59,9.55
2025-01-05,17,1877.39,11.0
2025-01-05,18,1875.56,12.24
2025-01-05,19,1868.59,13.2
2025-01-05,20,1856.94,13.8
2025-01-05,21,1841.41,14.0
2025-01-05,22,1823.06,13.8
2025-01-05,23,1803.14,13.2
2025-01-05,24,1783.0,12.24
2025-01-06,1,1764.02,11.0
2025-01-06,2,1763.14,9.55
2025-01-06,3,1804.55,8.0
2025-01-06,4,1850.41,6.45
2025-01-06,5,1897.61,5.0
2025-01-06,6,1942.93,3.76
2025-01-06,7,1983.28,2.8
2025-01-06,8,2015.9,2.2
2025-01-06,9,2038.59,2.0
2025-01-06,10,2049.78,2.2
2025-01-06,11,2048.73,2.8
2025-01-06,12,2035.49,3.76
2025-01-06,13,2010.98,5.0
2025-01-06,14,1976.86,6.45
2025-01-06,15,1935.45,8.0
2025-01-06,16,1889.59,9.55
2025-01-06,17,1877.39,11.0
2025-01-06,18,1875.56,12.24
2025-01-06,19,1868.59,13.2
2025-01-06,20,1856.94,13.8
2025-01-06,21,1841.41,14.0
2025-01-06,22,1823.06,13.8
2025-01-06,23,1803.14,13.2
2025-01-06,24,1783.0,12.24
2025-01-07,1,1764.02,11.0
2025-01-07,2,1763.14,9.55
2025-01-07,3,1804.55,8.0
2025-01-07,4,1850.41,6.45
2025-01-07,5,1897.61,5.0
2025-01-07,6,1942.93,3.76
2025-01-07,7,1983.28,2.8
2025-01-07,8,2015.9,2.2
2025-01-07,9,2038.59,2.0
2025-01-07,10,2049.78,2.2
2025-01-07,11,2048.73,2.8
2025-01-07,12,2035.49,3.76
2025-01-07,13,2010.98,5.0
2025-01-07,14,1976.86,6.45
2025-01-07,15,1935.45,8.0
2025-01-07,16,1889.59,9.55
2025-01-07,17,1877.39,11.0
2025-01-07,18,1875.56,12.24
2025-01-07,19,1868.59,13.2
2025-01-07,20,1856.94,13.8
2025-01-07,21,1841.41,14.0
2025-01-07,22,1823.06,13.8
2025-01-07,23,1803.14,13.2
2025-01-07,24,1783.0,12.24
2025-01-08,1,1764.02,11.0
2025-01-08,2,1763.14,9.55
2025-01-08,3,1804.55,8.0
2025-01-08,4,1850.41,6.45
2025-01-08,5,1897.61,5.0
2025-01-08,6,1942.93,3.76
2025-01-08,7,1983.28,2.8
2025-01-08,8,2015.9,2.2
2025-01-08,9,2038.59,2.0
2025-01-08,10,2049.78,2.2
2025-01-08,11,2048.73,2.8
2025-01-08,12,2035.49,3.76
2025-01-08,13,2010.98,5.0
2025-01-08,14,1976.86,6.45
2025-01-08,15,1935.45,8.0
2025-01-08,16,1889.59,9.55
2025-01-08,17,1877.39,11.0
2025-01-08,18,1875.56,12.24
2025-01-08,19,1868.59,13.2
2025-01-08,20,1856.94,13.8
2025-01-08,21,1841.41,14.0
2025-01-08,22,1823.06,13.8
2025-01-08,23,1803.14,13.2
2025-01-08,24,1783.0,12.24
2025-01-09,1,1764.02,11.0
2025-01-09,2,1763.14,9.55
2025-01-09,3,1804.55,8.0
2025-01-09,4,1850.41,6.45
2025-01-09,5,1897.61,5.0
2025-01-09,6,1942.93,3.76
2025-01-09,7,1983.28,2.8
2025-01-09,8,2015.9,2.2
2025-01-09,9,2038.59,2.0
2025-01-09,10,2049.78,2.2
2025-01-09,11,2048.73,2.8
2025-01-09,12,2035.49,3.76
2025-01-09,13,2010.98,5.0
2025-01-09,14,1976.86,6.45
2025-01-09,15,1935.45,8.0
2025-01-09,16,1889.59,9.55
2025-01-09,17,1877.39,11.0
2025-01-09,18,1875.56,12.24
2025-01-09,19,1868.59,13.2
2025-01-09,20,1856.94,13.8
2025-01-09,21,1841.41,14.0
2025-01-09,22,1823.06,13.8
2025-01-09,23,1803.14,13.2
2025-01-09,24,1783.0,12.24
2025-01-10,1,1764.02,11.0
2025-01-10,2,1763.14,9.55
2025-01-10,3,1804.55,8.0
2025-01-10,4,1850.41,6.45
2025-01-10,5,1897.61,5.0
2025-01-10,6,1942.93,3.76
2025-01-10,7,1983.28,2.8
2025-01-10,8,2015.9,2.2
2025-01-10,9,2038.59,2.0
2025-01-10,10,2049.78,2.2
2025-01-10,11,2048.73,2.8
2025-01-10,12,2035.49,3.76
2025-01-10,13,2010.98,5.0
2025-01-10,14,1976.86,6.45
2025-01-10,15,1935.45,8.0
2025-01-10,16,1889.59,9.55
2025-01-10,17,1877.39,11.0
2025-01-10,18,1875.56,12.24
2025-01-10,19,1868.59,13.2
2025-01-10,20,1856.94,13.8
2025-01-10,21,1841.41,14.0
2025-01-10,22,1823.06,13.8
2025-01-10,23,1803.14,13.2
2025-01-10,24,1783.0,12.24
2025-01-11,1,1764.02,11.0
2025-01-11,2,1763.14,9.55
2025-01-11,3,1804.55,8.0
2025-01-11,4,1850.41,6.45
2025-01-11,5,1897.61,5.0
2025-01-11,6,1942.93,3.76
